Provider_ID,ZIP_Code,Hospital_overall_rating
453301,78411,Not Available
460010,84107,5
470001,5641,4
471300,5353,Not Available
471306,5156,3
490009,22908,2
490117,24651,3
490126,24457,3
500044,99210,4
500051,98004,4
500129,98405,2
501305,99122,Not Available
503301,98415,Not Available
510001,26506,2
510002,24970,4
510072,26155,4
520037,54449,4
520103,53051,3
430081,57770,Not Available
480001,801,2
520207,53024,5
521332,54801,4
521347,54002,Not Available
670004,78945,4
670062,76227,Not Available
670119,77090,Not Available
670120,79911,Not Available
640001,96799,Not Available
650001,96913,2
650003,96929,Not Available
660001,96950,Not Available
100045,32720,3
10083,36535,3
10126,36081,2
100287,33401,2
50168,92835,3
100206,33609,2
100175,34265,3
30123,85255,5
30069,86403,2
41311,71852,4
50327,92354,1
100044,34995,2
110045,30680,3
30061,85351,5
100105,32960,2
50014,95642,2
50305,94705,4
100034,33140,4
50118,95336,3
100187,33016,2
50663,90023,3
50633,93465,2
100243,33511,2
50075,94611,4
50742,90036,2
50007,94010,5
50590,95823,3
100269,33470,2
10149,36117,4
40152,72703,Not Available
110073,31750,3
100286,34119,2
50407,94133,4
20006,99645,2
10101,35161,3
70020,6457,4
10097,36092,4
10158,35653,4
40119,72503,4
50745,92869,2
11300,36518,Not Available
70018,6830,4
31300,85390,4
100321,32068,4
40019,72335,2
110075,30458,2
60065,80229,4
61302,81521,Not Available
50057,93291,3
100040,32204,2
61311,81073,Not Available
50758,91763,2
100028,32796,3
60071,81416,4
51315,96093,Not Available
51303,93546,Not Available
50232,93401,4
50636,92064,3
101303,32054,Not Available
50315,93306,2
10021,36360,4
51320,96130,4
110008,30115,2
100090,32086,2
100106,32348,3
40132,71901,Not Available
50739,90301,4
10018,35233,Not Available
50471,90017,2
60104,80023,3
50238,91006,5
50180,94598,4
10069,36027,4
31307,85344,Not Available
51306,95988,Not Available
100258,33484,1
100268,33428,1
100067,33705,2
60003,80501,4
100259,33573,3
100161,32771,2
60030,80538,3
50528,93635,3
10001,36301,3
50624,91355,4
110029,30501,3
100014,32170,1
70008,6076,4
30137,85614,2
100249,34428,1
50060,93721,2
53309,90806,Not Available
50047,94115,5
100001,32209,1
30001,85031,3
60075,81601,4
50350,90640,4
50414,95630,2
50727,90804,2
100032,33701,1
60024,80045,3
110113,30830,Not Available
30037,85006,2
41305,72958,Not Available
50058,91204,4
100124,32570,3
41308,71654,Not Available
50357,93111,5
41322,72576,3
50112,90404,5
51310,95490,4
70021,6226,4
50740,90291,3
50417,95531,3
50775,92592,4
61327,81321,3
50455,93301,2
60124,80228,Not Available
51302,93545,Not Available
31314,85501,3
100255,33615,3
60010,80524,5
20024,99669,2
50481,91307,2
60100,80012,5
100179,32216,1
61301,81132,4
50121,93230,2
100026,32401,3
51309,95542,Not Available
40076,72104,4
50516,95608,2
100264,34613,2
100181,33143,2
30011,85711,3
10103,35211,3
110027,30553,3
10164,35150,2
100053,33013,1
100038,33021,4
50008,94117,3
50324,92037,3
40134,72211,4
61320,81230,Not Available
100073,33308,3
60119,80538,5
100075,33677,4
10007,36467,2
70024,6360,4
10059,35650,4
10100,36532,3
50024,91950,3
30134,85120,4
50153,95128,2
70034,6856,3
70025,6102,2
30132,85132,Not Available
50352,96150,3
83300,19899,Not Available
101304,32424,Not Available
100254,32308,2
50760,94531,3
100009,33136,2
40062,72917,4
30006,85712,3
30115,85037,4
100220,33912,2
60014,80218,3
50573,92270,5
100008,33176,2
100130,33430,2
40001,72761,3
51314,93240,3
50078,90732,4
50329,92882,3
40084,72015,2
70033,6810,2
30055,86409,2
50226,92801,3
110109,30401,4
110086,31082,3
10086,35594,4
10148,36401,3
110046,30655,2
50289,94015,4
110069,31093,4
11302,35582,Not Available
101302,32440,Not Available
40071,71603,1
50090,95476,4
50228,94110,1
100132,33563,3
110115,30312,2
100211,33525,2
10139,35209,2
110051,30512,5
73300,6106,Not Available
110082,30342,5
101311,32340,Not Available
20026,99508,2
100276,33065,2
60114,80138,3
60013,81301,5
61313,80807,Not Available
90005,20016,3
110025,31520,2
10034,36078,4
30007,86326,5
50136,94954,3
100030,34761,2
10128,36545,3
