CBSA Code,Metropolitan Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
33340,,376.0,"Milwaukee-Waukesha-West Allis, WI",Metropolitan Statistical Area,,"Milwaukee-Racine-Waukesha, WI",Waukesha,Wisconsin,55.0,133.0,Central
33420,,206.0,"Mineral Wells, TX",Micropolitan Statistical Area,,"Dallas-Fort Worth, TX-OK",Palo Pinto,Texas,48.0,363.0,Central
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Anoka,Minnesota,27.0,3.0,Central
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Carver,Minnesota,27.0,19.0,Central
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Chisago,Minnesota,27.0,25.0,Outlying
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Dakota,Minnesota,27.0,37.0,Central
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Hennepin,Minnesota,27.0,53.0,Central
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Isanti,Minnesota,27.0,59.0,Outlying
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Le Sueur,Minnesota,27.0,79.0,Outlying
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Mille Lacs,Minnesota,27.0,95.0,Outlying
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Ramsey,Minnesota,27.0,123.0,Central
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Scott,Minnesota,27.0,139.0,Central
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Sherburne,Minnesota,27.0,141.0,Central
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Sibley,Minnesota,27.0,143.0,Outlying
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Washington,Minnesota,27.0,163.0,Central
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Wright,Minnesota,27.0,171.0,Central
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",Pierce,Wisconsin,55.0,93.0,Outlying
33460,,378.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,,"Minneapolis-St. Paul, MN-WI",St. Croix,Wisconsin,55.0,109.0,Outlying
33500,,,"Minot, ND",Micropolitan Statistical Area,,,McHenry,North Dakota,38.0,49.0,Outlying
33500,,,"Minot, ND",Micropolitan Statistical Area,,,Renville,North Dakota,38.0,75.0,Outlying
33500,,,"Minot, ND",Micropolitan Statistical Area,,,Ward,North Dakota,38.0,101.0,Central
33540,,,"Missoula, MT",Metropolitan Statistical Area,,,Missoula,Montana,30.0,63.0,Central
33580,,,"Mitchell, SD",Micropolitan Statistical Area,,,Davison,South Dakota,46.0,35.0,Central
33580,,,"Mitchell, SD",Micropolitan Statistical Area,,,Hanson,South Dakota,46.0,61.0,Outlying
33620,,190.0,"Moberly, MO",Micropolitan Statistical Area,,"Columbia-Moberly-Mexico, MO",Randolph,Missouri,29.0,175.0,Central
33660,,380.0,"Mobile, AL",Metropolitan Statistical Area,,"Mobile-Daphne-Fairhope, AL",Mobile,Alabama,1.0,97.0,Central
33700,,382.0,"Modesto, CA",Metropolitan Statistical Area,,"Modesto-Merced, CA",Stanislaus,California,6.0,99.0,Central
33740,,384.0,"Monroe, LA",Metropolitan Statistical Area,,"Monroe-Ruston-Bastrop, LA",Ouachita,Louisiana,22.0,73.0,Central
33740,,384.0,"Monroe, LA",Metropolitan Statistical Area,,"Monroe-Ruston-Bastrop, LA",Union,Louisiana,22.0,111.0,Outlying
33780,,220.0,"Monroe, MI",Metropolitan Statistical Area,,"Detroit-Warren-Ann Arbor, MI",Monroe,Michigan,26.0,115.0,Central
33860,,,"Montgomery, AL",Metropolitan Statistical Area,,,Autauga,Alabama,1.0,1.0,Central
33860,,,"Montgomery, AL",Metropolitan Statistical Area,,,Elmore,Alabama,1.0,51.0,Central
33860,,,"Montgomery, AL",Metropolitan Statistical Area,,,Lowndes,Alabama,1.0,85.0,Outlying
33860,,,"Montgomery, AL",Metropolitan Statistical Area,,,Montgomery,Alabama,1.0,101.0,Central
33940,,,"Montrose, CO",Micropolitan Statistical Area,,,Montrose,Colorado,8.0,85.0,Central
33980,,404.0,"Morehead City, NC",Micropolitan Statistical Area,,"New Bern-Morehead City, NC",Carteret,North Carolina,37.0,31.0,Central
34020,,318.0,"Morgan City, LA",Micropolitan Statistical Area,,"Lafayette-Opelousas-Morgan City, LA",St. Mary,Louisiana,22.0,101.0,Central
34060,,390.0,"Morgantown, WV",Metropolitan Statistical Area,,"Morgantown-Fairmont, WV",Monongalia,West Virginia,54.0,61.0,Central
34060,,390.0,"Morgantown, WV",Metropolitan Statistical Area,,"Morgantown-Fairmont, WV",Preston,West Virginia,54.0,77.0,Outlying
34100,,314.0,"Morristown, TN",Metropolitan Statistical Area,,"Knoxville-Morristown-Sevierville, TN",Hamblen,Tennessee,47.0,63.0,Central
34100,,314.0,"Morristown, TN",Metropolitan Statistical Area,,"Knoxville-Morristown-Sevierville, TN",Jefferson,Tennessee,47.0,89.0,Central
34140,,446.0,"Moscow, ID",Micropolitan Statistical Area,,"Pullman-Moscow, WA-ID",Latah,Idaho,16.0,57.0,Central
34180,,393.0,"Moses Lake, WA",Micropolitan Statistical Area,,"Moses Lake-Othello, WA",Grant,Washington,53.0,25.0,Central
34220,,,"Moultrie, GA",Micropolitan Statistical Area,,,Colquitt,Georgia,13.0,71.0,Central
34260,,,"Mountain Home, AR",Micropolitan Statistical Area,,,Baxter,Arkansas,5.0,5.0,Central
34300,,147.0,"Mountain Home, ID",Micropolitan Statistical Area,,"Boise City-Mountain Home-Ontario, ID-OR",Elmore,Idaho,16.0,39.0,Central
34340,,268.0,"Mount Airy, NC",Micropolitan Statistical Area,,"Greensboro--Winston-Salem--High Point, NC",Surry,North Carolina,37.0,171.0,Central
34380,,394.0,"Mount Pleasant, MI",Micropolitan Statistical Area,,"Mount Pleasant-Alma, MI",Isabella,Michigan,26.0,73.0,Central
34420,,,"Mount Pleasant, TX",Micropolitan Statistical Area,,,Titus,Texas,48.0,449.0,Central
34460,,336.0,"Mount Sterling, KY",Micropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Bath,Kentucky,21.0,11.0,Outlying
34460,,336.0,"Mount Sterling, KY",Micropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Menifee,Kentucky,21.0,165.0,Outlying
34460,,336.0,"Mount Sterling, KY",Micropolitan Statistical Area,,"Lexington-Fayette--Richmond--Frankfort, KY",Montgomery,Kentucky,21.0,173.0,Central
34500,,,"Mount Vernon, IL",Micropolitan Statistical Area,,,Jefferson,Illinois,17.0,81.0,Central
34540,,198.0,"Mount Vernon, OH",Micropolitan Statistical Area,,"Columbus-Marion-Zanesville, OH",Knox,Ohio,39.0,83.0,Central
34580,,500.0,"Mount Vernon-Anacortes, WA",Metropolitan Statistical Area,,"Seattle-Tacoma, WA",Skagit,Washington,53.0,57.0,Central
34620,,294.0,"Muncie, IN",Metropolitan Statistical Area,,"Indianapolis-Carmel-Muncie, IN",Delaware,Indiana,18.0,35.0,Central
